Uniprot_ID	HPO-Term-ID
A2MG_HUMAN	HP:0410054
A2MG_HUMAN	HP:0001425
A2MG_HUMAN	HP:0001300
A2MG_HUMAN	HP:0000006
A2MG_HUMAN	HP:0000726
A2MG_HUMAN	HP:0002423
A2MG_HUMAN	HP:0002185
A2MG_HUMAN	HP:0002511
SYAC_HUMAN	HP:0003202
SYAC_HUMAN	HP:0000643
SYAC_HUMAN	HP:0001284
SYAC_HUMAN	HP:0000006
SYAC_HUMAN	HP:0000007
SYAC_HUMAN	HP:0000648
SYAC_HUMAN	HP:0001290
SYAC_HUMAN	HP:0002827
SYAC_HUMAN	HP:0002059
SYAC_HUMAN	HP:0002317
SYAC_HUMAN	HP:0002063
SYAC_HUMAN	HP:0001298
SYAC_HUMAN	HP:0003477
SYAC_HUMAN	HP:0001558
SYAC_HUMAN	HP:0000407
SYAC_HUMAN	HP:0002072
SYAC_HUMAN	HP:0002460
SYAC_HUMAN	HP:0000668
SYAC_HUMAN	HP:0012447
SYAC_HUMAN	HP:0000546
SYAC_HUMAN	HP:0002355
SYAC_HUMAN	HP:0100660
SYAC_HUMAN	HP:0001336
SYAC_HUMAN	HP:0001337
SYAC_HUMAN	HP:0011968
SYAC_HUMAN	HP:0009027
SYAC_HUMAN	HP:0200134
SYAC_HUMAN	HP:0002376
SYAC_HUMAN	HP:0000717
SYAC_HUMAN	HP:0002509
SYAC_HUMAN	HP:0002133
SYAC_HUMAN	HP:0002521
SYAC_HUMAN	HP:0010844
SYAC_HUMAN	HP:0000348
SYAC_HUMAN	HP:0001761
SYAC_HUMAN	HP:0001249
SYAC_HUMAN	HP:0001250
SYAC_HUMAN	HP:0004322
SYAC_HUMAN	HP:0001251
SYAC_HUMAN	HP:0001508
SYAC_HUMAN	HP:0002020
SYAC_HUMAN	HP:0001765
SYAC_HUMAN	HP:0003429
SYAC_HUMAN	HP:0009830
SYAC_HUMAN	HP:0003431
SYAC_HUMAN	HP:0001511
SYAC_HUMAN	HP:0100710
SYAC_HUMAN	HP:0001257
SYAC_HUMAN	HP:0007018
SYAC_HUMAN	HP:0000750
SYAC_HUMAN	HP:0000494
SYAC_HUMAN	HP:0001263
SYAC_HUMAN	HP:0001265
SYAC_HUMAN	HP:0003828
SYAC_HUMAN	HP:0001268
SYAC_HUMAN	HP:0002421
SYAC_HUMAN	HP:0002936
SYAC_HUMAN	HP:0000504
SYAC_HUMAN	HP:0003577
SYAC_HUMAN	HP:0001273
SYAC_HUMAN	HP:0000252
SYAC_HUMAN	HP:0000508
SYAC_HUMAN	HP:0000639
GABT_HUMAN	HP:0000098
GABT_HUMAN	HP:0001250
GABT_HUMAN	HP:0001347
GABT_HUMAN	HP:0001254
GABT_HUMAN	HP:0000007
GABT_HUMAN	HP:0001321
GABT_HUMAN	HP:0003819
GABT_HUMAN	HP:0025356
GABT_HUMAN	HP:0006829
GABT_HUMAN	HP:0000494
GABT_HUMAN	HP:0001263
GABT_HUMAN	HP:0002415
GABT_HUMAN	HP:0025430
GABT_HUMAN	HP:0000278
GABT_HUMAN	HP:0001274
GABT_HUMAN	HP:0007291
ABCA1_HUMAN	HP:0002240
ABCA1_HUMAN	HP:0003457
ABCA1_HUMAN	HP:0100546
ABCA1_HUMAN	HP:0003396
ABCA1_HUMAN	HP:0001349
ABCA1_HUMAN	HP:0000006
ABCA1_HUMAN	HP:0000007
ABCA1_HUMAN	HP:0025608
ABCA1_HUMAN	HP:0003146
ABCA1_HUMAN	HP:0010829
ABCA1_HUMAN	HP:0001677
ABCA1_HUMAN	HP:0004943
ABCA1_HUMAN	HP:0007759
ABCA1_HUMAN	HP:0000656
ABCA1_HUMAN	HP:0001744
ABCA1_HUMAN	HP:0001873
ABCA1_HUMAN	HP:0008404
ABCA1_HUMAN	HP:0007957
ABCA1_HUMAN	HP:0003477
ABCA1_HUMAN	HP:0004374
ABCA1_HUMAN	HP:0011096
ABCA1_HUMAN	HP:0005145
ABCA1_HUMAN	HP:0001433
ABCA1_HUMAN	HP:0002460
ABCA1_HUMAN	HP:0002716
ABCA1_HUMAN	HP:0007133
ABCA1_HUMAN	HP:0030814
ABCA1_HUMAN	HP:0000991
ABCA1_HUMAN	HP:0007328
ABCA1_HUMAN	HP:0003233
ABCA1_HUMAN	HP:0002730
ABCA1_HUMAN	HP:0002155
ABCA1_HUMAN	HP:0002027
ABCA1_HUMAN	HP:0003693
ABCA1_HUMAN	HP:0000622
ABCA1_HUMAN	HP:0001903
ABCA1_HUMAN	HP:0001712
ABCA1_HUMAN	HP:0001392
ABCA1_HUMAN	HP:0001265
ABCA1_HUMAN	HP:0002164
ABCA1_HUMAN	HP:0006901
ABCA1_HUMAN	HP:0000505
ABCA1_HUMAN	HP:0001658
ABCA1_HUMAN	HP:0005181
ABCA1_HUMAN	HP:0000958
ABCA3_HUMAN	HP:0002020
ABCA3_HUMAN	HP:0001508
ABCA3_HUMAN	HP:0002789
ABCA3_HUMAN	HP:0000007
ABCA3_HUMAN	HP:0010444
ABCA3_HUMAN	HP:0025390
ABCA3_HUMAN	HP:0030830
ABCA3_HUMAN	HP:0001425
ABCA3_HUMAN	HP:0002098
ABCA3_HUMAN	HP:0006517
ABCA3_HUMAN	HP:0100759
ABCA3_HUMAN	HP:0005942
ABCA3_HUMAN	HP:0025175
ABCA3_HUMAN	HP:0002104
ABCA3_HUMAN	HP:0003577
ABCA3_HUMAN	HP:0025179
ABCA3_HUMAN	HP:0002875
ABCA3_HUMAN	HP:0002206
ABCA3_HUMAN	HP:0002110
ABCA3_HUMAN	HP:0002878
ABCA3_HUMAN	HP:0012735
ABCB7_HUMAN	HP:0002080
ABCB7_HUMAN	HP:0001251
ABCB7_HUMAN	HP:0001347
ABCB7_HUMAN	HP:0001924
ABCB7_HUMAN	HP:0001252
ABCB7_HUMAN	HP:0003621
ABCB7_HUMAN	HP:0002470
ABCB7_HUMAN	HP:0000486
ABCB7_HUMAN	HP:0001511
ABCB7_HUMAN	HP:0004840
ABCB7_HUMAN	HP:0001419
ABCB7_HUMAN	HP:0001260
ABCB7_HUMAN	HP:0001263
ABCB7_HUMAN	HP:0001903
ABCB7_HUMAN	HP:0001939
ABCB7_HUMAN	HP:0002167
ABCB7_HUMAN	HP:0002169
ABCB7_HUMAN	HP:0002650
ABCB7_HUMAN	HP:0002075
ABCB7_HUMAN	HP:0001310
ABCB7_HUMAN	HP:0003487
ABCB7_HUMAN	HP:0000639
ABCA4_HUMAN	HP:0000512
ABCA4_HUMAN	HP:0000006
ABCA4_HUMAN	HP:0007814
ABCA4_HUMAN	HP:0000518
ABCA4_HUMAN	HP:0000007
ABCA4_HUMAN	HP:0000135
ABCA4_HUMAN	HP:0000648
ABCA4_HUMAN	HP:0000649
ABCA4_HUMAN	HP:0001419
ABCA4_HUMAN	HP:0000405
ABCA4_HUMAN	HP:0000662
ABCA4_HUMAN	HP:0000407
ABCA4_HUMAN	HP:0007703
ABCA4_HUMAN	HP:0007704
ABCA4_HUMAN	HP:0000543
ABCA4_HUMAN	HP:0008736
ABCA4_HUMAN	HP:0007843
ABCA4_HUMAN	HP:0000035
ABCA4_HUMAN	HP:0000548
ABCA4_HUMAN	HP:0030500
ABCA4_HUMAN	HP:0000551
ABCA4_HUMAN	HP:0007722
ABCA4_HUMAN	HP:0000431
ABCA4_HUMAN	HP:0000563
ABCA4_HUMAN	HP:0007737
ABCA4_HUMAN	HP:0000572
ABCA4_HUMAN	HP:0008002
ABCA4_HUMAN	HP:0001347
ABCA4_HUMAN	HP:0000842
ABCA4_HUMAN	HP:0000463
ABCA4_HUMAN	HP:0005978
ABCA4_HUMAN	HP:0000602
ABCA4_HUMAN	HP:0000603
ABCA4_HUMAN	HP:0000987
ABCA4_HUMAN	HP:0000608
ABCA4_HUMAN	HP:0001249
ABCA4_HUMAN	HP:0000610
ABCA4_HUMAN	HP:0008035
ABCA4_HUMAN	HP:0000613
ABCA4_HUMAN	HP:0001513
ABCA4_HUMAN	HP:0000618
ABCA4_HUMAN	HP:0001133
ABCA4_HUMAN	HP:0000493
ABCA4_HUMAN	HP:0008046
ABCA4_HUMAN	HP:0007663
ABCA4_HUMAN	HP:0011504
ABCA4_HUMAN	HP:0000501
ABCA4_HUMAN	HP:0030329
ABCA4_HUMAN	HP:0000505
ABCA4_HUMAN	HP:0008059
ABCA4_HUMAN	HP:0007675
ABCA4_HUMAN	HP:0000510
ABCA4_HUMAN	HP:0000639
ABL1_HUMAN	HP:0005506
ABL1_HUMAN	HP:0000963
ABL1_HUMAN	HP:0000965
ABL1_HUMAN	HP:0002566
ABL1_HUMAN	HP:0000006
ABL1_HUMAN	HP:0000776
ABL1_HUMAN	HP:0000331
ABL1_HUMAN	HP:0000460
ABL1_HUMAN	HP:0001166
ABL1_HUMAN	HP:0001680
ABL1_HUMAN	HP:0001744
ABL1_HUMAN	HP:0000337
ABL1_HUMAN	HP:0000977
ABL1_HUMAN	HP:0001873
ABL1_HUMAN	HP:0040019
ABL1_HUMAN	HP:0001428
ABL1_HUMAN	HP:0001945
ABL1_HUMAN	HP:0002010
ABL1_HUMAN	HP:0002650
ABL1_HUMAN	HP:0000218
ABL1_HUMAN	HP:0012378
ABL1_HUMAN	HP:0000028
ABL1_HUMAN	HP:0001629
ABL1_HUMAN	HP:0000670
ABL1_HUMAN	HP:0001631
ABL1_HUMAN	HP:0012385
ABL1_HUMAN	HP:0004322
ABL1_HUMAN	HP:0002019
ABL1_HUMAN	HP:0001763
ABL1_HUMAN	HP:0001508
ABL1_HUMAN	HP:0000678
ABL1_HUMAN	HP:0001894
ABL1_HUMAN	HP:0002023
ABL1_HUMAN	HP:0001511
ABL1_HUMAN	HP:0000490
ABL1_HUMAN	HP:0005547
ABL1_HUMAN	HP:0004396
ABL1_HUMAN	HP:0001263
ABL1_HUMAN	HP:0000047
